"X","coefficient"
"1","(Intercept)",-4918.59644354377
"2","regression_xarea",1295.96268864744
"3","regression_xd21",-99.7188345437552
"4","regression_xd22",3176.33597360062
"5","regression_xd23",11113.1313942323
"6","regression_xd24",16297.3879756823
"7","regression_xd25",6764.23985871045
"8","regression_xd26",4385.65936833762
"9","regression_xd27",-11999.9814194134
"10","regression_xd28",2926.14978063649
"11","regression_xd29",-755.163089493406
"12","regression_xd210",5906.43307040274
"13","regression_xd211",45232.5825904
"14","regression_xd41",2716.41463127811
"15","regression_xd42",330.208726539935
"16","regression_xd43",433.792188017333
"17","regression_xd5",-4479.0387726727
"18","regression_xd6",1884.85127250689
"19","regression_xd7",4188.13610855408
"20","regression_xd8",571.30599492837
"21","regression_xd9",1832.69195445059
"22","regression_xmin_station",-4.44918116725791
"23","regression_xmin_park",4.44575670868769
"24","regression_xaread21",226.84395683964
"25","regression_xaread22",124.367770396089
"26","regression_xaread23",-362.617744984914
"27","regression_xaread24",-615.593477385328
"28","regression_xaread25",-222.951876226264
"29","regression_xaread26",65.3033323975685
"30","regression_xaread27",395.312735767253
"31","regression_xaread28",-305.929867817162
"32","regression_xaread29",-82.6192356205243
"33","regression_xaread210",-462.147700728327
"34","regression_xaread211",-2410.3669525386
"35","regression_xd41d21",-2873.04126181894
"36","regression_xd41d22",-4282.50321104644
"37","regression_xd41d23",-6281.65791491032
"38","regression_xd41d24",-9497.96047908421
"39","regression_xd41d25",-5989.77894249657
"40","regression_xd41d26",-3624.35468022501
"41","regression_xd41d27",8543.45733708153
"42","regression_xd41d28",-3147.31116333441
"43","regression_xd41d29",-538.128382890017
"44","regression_xd41d210",-3963.53729127912
"45","regression_xd41d211",-28671.005350232
"46","regression_xd42d21",-2053.16691845219
"47","regression_xd42d22",-3943.60660619856
"48","regression_xd42d23",-6783.10278904876
"49","regression_xd42d24",-11344.1363129383
"50","regression_xd42d25",-6739.69927949322
"51","regression_xd42d26",-3807.02322241966
"52","regression_xd42d27",10393.0579147853
"53","regression_xd42d28",-1218.23626113236
"54","regression_xd42d29",1490.39221110999
"55","regression_xd42d210",-3654.24973030924
"56","regression_xd42d211",-29671.7736375608
"57","regression_xd43d21",-2715.26716166652
"58","regression_xd43d22",-3773.42463980224
"59","regression_xd43d23",-8260.87476514866
"60","regression_xd43d24",-11804.8005528964
"61","regression_xd43d25",-5607.25610785689
"62","regression_xd43d26",-3883.71387975624
"63","regression_xd43d27",11850.2331277156
"64","regression_xd43d28",-1480.62808291635
"65","regression_xd43d29",1634.21236959951
"66","regression_xd43d210",-2639.84088900623
"67","regression_xd43d211",-32288.476496445
"68","regression_xarea_square",1.6707330356258
"69","regression_xarea2d21",-3.85329271185763
"70","regression_xarea2d22",-1.76469521623983
"71","regression_xarea2d23",1.54954612429756
"72","regression_xarea2d24",7.25155873902225
"73","regression_xarea2d25",-2.95808867872219
"74","regression_xarea2d26",0.94286210939899
"75","regression_xarea2d27",-2.91829458034116
"76","regression_xarea2d28",-0.0293286022707063
"77","regression_xarea2d29",-2.07041658873872
"78","regression_xarea2d210",2.03224610141381
"79","regression_xarea2d211",18.021989369878
